Feature,Mean Difference,Gender
insured,0.0297,M
should,0.029671429,M
origin,0.02964,M
separately,0.0296,M
member,0.029575,M
en,0.029571429,M
hence,0.029571429,M
buckley,0.02955,M
particularly,0.0294,M
recognition,0.0294,M
rent,0.0294,M
subjects,0.029366667,M
licensing,0.0293,M
provide,0.0293,M
punishable,0.0293,M
somewhat,0.029228571,M
authors,0.0292,M
call,0.0292,M
debtors,0.0292,M
excuse,0.0292,M
golden,0.0292,M
voting,0.0292,M
principal,0.029155556,M
presented,0.02914,M
representatives,0.029114286,M
owed,0.0291,M
ships,0.0291,M
sense,0.029088889,M
restraint,0.028971429,M
raising,0.028966667,M
directs,0.0289,M
murphy,0.0289,M
recommendation,0.0289,M
family,0.0288,M
guideline,0.0288,M
avoiding,0.028766667,M
materiality,0.0287,M
restrictive,0.0287,M
rome,0.0287,M
guilty,0.028688889,M
relationships,0.0286,M
speedy,0.0286,M
georgia's,0.0285,M
neutrality,0.0285,M
insure,0.0284,M
historical,0.02835,M
anomalous,0.0283,M
brought,0.028288889,M
extortion,0.02828,M
drafted,0.0282,M
larceny,0.0282,M
mandated,0.0282,M
wheat,0.0282,M
punishments,0.02812,M
declaratory,0.0281,M
invoking,0.028,M
petitions,0.027971429,M
mitigation,0.02795,M
conclude,0.027933333,M
violence,0.027771429,M
sign,0.02775,M
restrictions,0.027725,M
undisputed,0.02764,M
human,0.02755,M
result,0.027533333,M
withhold,0.0275,M
cross,0.027488889,M
creditor,0.02744,M
criminals,0.0274,M
hear,0.02728,M
subdivision,0.02724,M
commissioner,0.0272,M
opening,0.0272,M
returns,0.0272,M
physical,0.027155556,M
large,0.027133333,M
advocacy,0.0271,M
published,0.0271,M
bus,0.027,M
whom,0.027,M
stringent,0.0269,M
discriminated,0.0267,M
other,0.026671429,M
knowledge,0.026666667,M
stewart,0.026628571,M
factual,0.026488889,M
illinois,0.0264,M
observer,0.0264,M
reflecting,0.0264,M
every,0.026345455,M
construe,0.026333333,M
fifth,0.026333333,M
standard,0.02625,M
rests,0.0262,M
tried,0.026171429,M
dicta,0.0261,M
disputed,0.02584,M
brewer,0.0258,M
injunctive,0.02564,M
charging,0.0256,M
encourage,0.0256,M
convict,0.025533333,M
considerations,0.025488889,M
memorandum,0.02548,M
release,0.025422222,M
december,0.0254,M
pages,0.0254,M
supervised,0.0254,M
firm,0.02528,M
significantly,0.02525,M
gone,0.0252,M
impede,0.0252,M
orders,0.0252,M
sexual,0.0252,M
suspected,0.0252,M
offender,0.025114286,M
president's,0.0251,M
allow,0.025088889,M
complaint,0.025088889,M
within,0.025030769,M
obtaining,0.025028571,M
newly,0.025,M
victim,0.024925,M
decided,0.0248,M
hall,0.0248,M
instances,0.0247,M
associational,0.0246,M
requested,0.024514286,M
already,0.024444444,M
learned,0.0244,M
silence,0.024314286,M
occurred,0.024288889,M
suspension,0.02428,M
preferred,0.0242,M
drafting,0.0241,M
interior,0.0241,M
mexico,0.024,M
son,0.024,M
anyone,0.023914286,M
appellant's,0.0239,M
certiorari,0.023888889,M
remanded,0.02384,M
entire,0.023666667,M
dismissing,0.0236,M
lived,0.0236,M
strength,0.0236,M
middle,0.0235,M
reinstatement,0.0235,M
violating,0.023433333,M
abused,0.0234,M
good,0.023333333,M
plant,0.0233,M
unanimously,0.0233,M
vi,0.02324,M
consecutive,0.0232,M
doing,0.0232,M
retail,0.0232,M
tribes,0.023133333,M
priority,0.0231,M
truly,0.0231,M
homosexual,0.023,M
figure,0.0229,M
stops,0.0229,M
impose,0.022888889,M
when,0.022757143,M
